Species	Virus_name_abbreviation
Alphaarterivirus equid	EAV
Lambdaarterivirus afriporav	APRAV
Deltaarterivirus hemfev	SHFV
Deltaarterivirus pejah	PBJV
Epsilonarterivirus hemcep	SHEV
Epsilonarterivirus safriver	FSVV
Epsilonarterivirus zamalb	ZMbV-1
Etaarterivirus ugarco 1	KRCV2
Iotaarterivirus debrazmo	DeBMAV
Iotaarterivirus kibreg 1	KRGTV
Thetaarterivirus kafuba	KKCBV
Thetaarterivirus mikelba 1	MYBV1
Zetaarterivirus ugarco 1	KRCV1
Betaarterivirus suid 2	PRRSV-2
Betaarterivirus chinrav 1	RAV1
Betaarterivirus ninrav	RatAV_Ningxia2015
Betaarterivirus suid 1	PRRSV-1
Gammaarterivirus lacdeh	LDV
Kappaarterivirus wobum	WPDV
Microhyla letovirus 1	MLeV
Bat coronavirus CDPHE15	BtCoV CDPHE15
Bat coronavirus HKU10	BtCoV HKU10
Rhinolophus ferrumequinum alphacoronavirus HuB-2013	BtRf-AlphaCoV
Human coronavirus 229E	HCoV_229E
Lucheng Rn rat coronavirus	LRNV
Ferret coronavirus	FRCoV
Mink coronavirus 1	MCoV
Miniopterus bat coronavirus 1	Mi-BatCoV_1A
Miniopterus bat coronavirus HKU8	Mi-BatCoV_HKU8
Myotis ricketti alphacoronavirus Sax-2011	BtMr-AlphaCoV
Nyctalus velutinus alphacoronavirus SC-2013	BtNv-AlphaCoV
Porcine epidemic diarrhea virus	PEDV
Scotophilus bat coronavirus 512	Sc-BatCoV_512
Rhinolophus bat coronavirus HKU2	Rh-BatCoV_HKU2
Human coronavirus NL63	HCoV_NL63
NL63-related bat coronavirus strain BtKYNL63-9b	BtKYNL63
Alphacoronavirus 1	TGEV
Betacoronavirus 1	HCoV_OC43
China Rattus coronavirus HKU24	ChRCoV_HKU24
Human coronavirus HKU1	HCoV_HKU1
Murine coronavirus	MHV
Bat Hp-betacoronavirus Zhejiang2013	Bat_Hp-BetaCoV
Hedgehog coronavirus 1	EriCoV
Middle East respiratory syndrome-related coronavirus	MERS-CoV
Pipistrellus bat coronavirus HKU5	Pi-BatCoV_HKU5
Tylonycteris bat coronavirus HKU4	Ty-BatCoV-HKU4
Rousettus bat coronavirus GCCDC1	Ro-BatCoV_GCCDC1
Rousettus bat coronavirus HKU9	Ro-BatCoV_HKU9
Severe acute respiratory syndrome-related coronavirus	SARS-CoV
Wigeon coronavirus HKU20	WiCoV_HKU20
Bulbul coronavirus HKU11	BulCV_HKU11
Coronavirus HKU15	PoCoV_HKU15
Munia coronavirus HKU13	MunCV_HKU13
White-eye coronavirus HKU16	WECoV_HKU16
Night heron coronavirus HKU19	NHCoV_HKU19
Common moorhen coronavirus HKU21	CMCoV_HKU21
Beluga whale coronavirus SW1	BWCoV
Avian coronavirus	IBV
Turrinivirus 1	TurrNV
Botrylloides leachii nidovirus	BlNV
Alphamesonivirus 4	CASV
Alphamesonivirus 8	NseV
Alphamesonivirus 5	HanaV
Alphamesonivirus 7	KADV
Alphamesonivirus 2	KSaV
Alphamesonivirus 3	DKNV
Alphamesonivirus 9	MenoV
Alphamesonivirus 1	NDV
Alphamesonivirus 6	OFAV
Planidovirus 1	PSCNV
Charybnivirus 1	CharNV
Decronivirus 1	DecNV
Paguronivirus 1	PagRV
Gill-associated virus	GAV
Yellow head virus	YHV
White bream virus	WBV
Fathead minnow nidovirus 1	FHMNV
Chinook salmon nidovirus 1	CSV
Bovine nidovirus 1	BoNV
Infratovirus 1	INTOV
Ball python nidovirus 1	BPNV
Sectovirus 1	SECTOV
Shingleback nidovirus 1	ShNV
Bovine torovirus	BRV
Equine torovirus	EToV
Porcine torovirus	PoTV
Acute bee paralysis virus	ABPV
Israeli acute paralysis virus	IAPV
Kashmir bee virus	KBV
Mud crab virus	MCV
Solenopsis invicta virus 1	SINV1
Taura syndrome virus	TSV
Aphid lethal paralysis virus	ALPV
Cricket paralysis virus	CrPV
Drosophila C virus	DCV
Rhopalosiphum padi virus	RhPV
Black queen cell virus	BQCV
Himetobi P virus	HiPV
Homalodisca coagulata virus 1	HoCV1
Plautia stali intestine virus	PSIV
Triatoma virus	TrV
Antheraea pernyi iflavirus	LnApIV
Brevicoryne brassicae virus	BBV
Deformed wing virus	DWV
Dinocampus coccinellae paralysis virus	DcPV
Ectropis obliqua virus	EoV
Infectious flacherie virus	IFV
Lygus lineolaris virus 1	LyLV1
Lymantria dispar iflavirus 1	LdIV1
Nilaparvata lugens honeydew virus 1	NLHV1
Perina nuda virus	PnV
Sacbrood virus	SBV
Slow bee paralysis virus	SBPV
Spodoptera exigua iflavirus 1	SEIV1
Spodoptera exigua iflavirus 2	SEIV2
Varroa destructor virus 1	VDV1
Chaetoceros socialis forma radians RNA virus 1	CsfrRNAV01
Chaetoceros tenuissimus RNA virus 01	CtenRNAV01
Rhizosolenia setigera RNA virus 01	RsRNAV01
Astarnavirus	AglaRNAV
Aurantiochytrium single-stranded RNA virus 01	ASSRNAV01
Jericarnavirus B	JP-B
Sanfarnavirus 1	SF-1
Sanfarnavirus 2	SF-2
Sanfarnavirus 3	SF-3
Heterosigma akashiwo RNA virus	HaRNAV
Britarnavirus 1	BC-1
Britarnavirus 4	BC-4
Palmarnavirus 128	PAL128
Palmarnavirus 473	PAL473
Britarnavirus 2	BC-2
Britarnavirus 3	BC-3
Chaetarnavirus 2	CspRNAV2
Chaetenuissarnavirus II	CtenRNAVII
Jericarnavirus A	JP-A
Palmarnavirus 156	PAL156
Aalivirus A	DAV
Ailurivirus A	AilV-A1
Ampivirus A	AMV-A
Anativirus A	AnaV-A
Bovine rhinitis A virus	BRAV-1
Bovine rhinitis A virus	BRAV-2
Bovine rhinitis B virus	BRBV-1
Bovine rhinitis B virus	BRBV-2
Bovine rhinitis B virus	BRBV-3
Bovine rhinitis B virus	BRBV-4
Bovine rhinitis B virus	BRBV-5
Equine rhinitis A virus	ERAV
Foot-and-mouth disease virus	FMDV-O
Foot-and-mouth disease virus	FMDV-A
Foot-and-mouth disease virus	FMDV-C
Foot-and-mouth disease virus	FMDV-Asia1
Foot-and-mouth disease virus	FMDV-SAT1
Foot-and-mouth disease virus	FMDV-SAT2
Foot-and-mouth disease virus	FMDV-SAT3
Aquamavirus A	SPV
Avihepatovirus A	DHAV-1
Avihepatovirus A	DHAV-2
Avihepatovirus A	DHAV-3
Avisivirus A	AsV-A
Avisivirus B	ASV-B
Avisivirus C	AsV-C
Bopivirus A	BoPV
Cardiovirus A	EMCV-1
Cardiovirus A	EMCV-2
Cardiovirus B	TMEV
Cardiovirus B	TMEV
Cardiovirus B	TMEV
Cardiovirus B	VHEV
Cardiovirus B	TRV
Cardiovirus B	SAFV-1
Cardiovirus B	SAFV-2
Cardiovirus B	SAFV-3
Cardiovirus B	SAFV-4
Cardiovirus B	SAFV-5
Cardiovirus B	SAFV-6
Cardiovirus B	SAFV-7
Cardiovirus B	SAFV-8
Cardiovirus B	SAFV-9
Cardiovirus B	SAFV-10
Cardiovirus B	SAFV-11
Cardiovirus B	GFThV
Cardiovirus C	BCV-1
Cardiovirus C	BCV-2
Cosavirus A	CoSV-A1
Cosavirus A	CoSV-A2
Cosavirus A	CoSV-A3
Cosavirus A	CoSV-A4
Cosavirus A	CoSV-A5
Cosavirus A	CoSV-A6
Cosavirus A	CoSV-A7
Cosavirus A	CoSV-A8
Cosavirus A	CoSV-A9
Cosavirus A	CoSV-A10
Cosavirus A	CoSV-A11
Cosavirus A	CoSV-A12
Cosavirus A	CoSV-A13
Cosavirus A	CoSV-A14
Cosavirus A	CoSV-A15
Cosavirus A	CoSV-A16
Cosavirus A	CoSV-A17
Cosavirus A	CoSV-A18
Cosavirus A	CoSV-A19
Cosavirus A	CoSV-A20
Cosavirus A	CoSV-A21
Cosavirus A	CoSV-A22
Cosavirus A	CoSV-A23
Cosavirus A	CoSV-A24
Cosavirus B	CoSV-B
Cosavirus D	CoSV-D1
Cosavirus D	CoSV-D2
Cosavirus D	CoSV-D3
Cosavirus D	CoSV-D4
Cosavirus D	CoSV-D5
Cosavirus E	CoSV-E
Cosavirus F	CoSV-F
Crohivirus A	SCrV
Crohivirus B	BCrV
Cadicivirus A	CaPd
Cadicivirus B	HeDV
Enterovirus A	CVA-2
Enterovirus A	CVA-3
Enterovirus A	CVA-4
Enterovirus A	CVA-5
Enterovirus A	CVA-6
Enterovirus A	CVA-7
Enterovirus A	CVA-8
Enterovirus A	CVA-10
Enterovirus A	CVA-12
Enterovirus A	CVA-14
Enterovirus A	CVA-16
Enterovirus A	EV-A71
Enterovirus A	EV-A76
Enterovirus A	EV-A89
Enterovirus A	EV-A90
Enterovirus A	EV-A91
Enterovirus A	EV-A92
Enterovirus A	EV-A114
Enterovirus A	EV-A119
Enterovirus A	EV-A120
Enterovirus A	EV-A121
Enterovirus A	SV19
Enterovirus A	SV43
Enterovirus A	SV46
Enterovirus A	BabEV-A13
Enterovirus B	CVB-3
Enterovirus B	CVB-1
Enterovirus B	CVB-2
Enterovirus B	CVB-4
Enterovirus B	CVB-5
Enterovirus B	CVB-6
Enterovirus B	CVA-9
Enterovirus B	E-1
Enterovirus B	E-1
Enterovirus B	E-2
Enterovirus B	E-3
Enterovirus B	E-4
Enterovirus B	E-5
Enterovirus B	E-6
Enterovirus B	E-7
Enterovirus B	E-9
Enterovirus B	E-11
Enterovirus B	E-12
Enterovirus B	E-13
Enterovirus B	E-14
Enterovirus B	E-15
Enterovirus B	E-16
Enterovirus B	E-17
Enterovirus B	E-18
Enterovirus B	E-19
Enterovirus B	E-20
Enterovirus B	E-21
Enterovirus B	E-24
Enterovirus B	E-25
Enterovirus B	E-26
Enterovirus B	E-27
Enterovirus B	E-29
Enterovirus B	E-30
Enterovirus B	E-31
Enterovirus B	E-32
Enterovirus B	E-33
Enterovirus B	EV-B69
Enterovirus B	EV-B73
Enterovirus B	EV-B74
Enterovirus B	EV-B75
Enterovirus B	EV-B77
Enterovirus B	EV-B78
Enterovirus B	EV-B79
Enterovirus B	EV-B80
Enterovirus B	EV-B81
Enterovirus B	EV-B82
Enterovirus B	EV-B83
Enterovirus B	EV-B84
Enterovirus B	EV-B85
Enterovirus B	EV-B86
Enterovirus B	EV-B87
Enterovirus B	EV-B88
Enterovirus B	EV-B93
Enterovirus B	EV-B97
Enterovirus B	EV-B98
Enterovirus B	EV-B100
Enterovirus B	EV-B101
Enterovirus B	EV-B106
Enterovirus B	EV-B107
Enterovirus B	EV-B110
Enterovirus B	EV-B111
Enterovirus B	EV-B112
Enterovirus B	EV-B113
Enterovirus B	SA5
Enterovirus C	PV-1
Enterovirus C	PV-1
Enterovirus C	PV-2
Enterovirus C	PV-2
Enterovirus C	PV-3
Enterovirus C	PV-3
Enterovirus C	CVA-1
Enterovirus C	CVA-11
Enterovirus C	CVA-13
Enterovirus C	CVA-13
Enterovirus C	CVA-17
Enterovirus C	CVA-19
Enterovirus C	CVA-20
Enterovirus C	CVA-21
Enterovirus C	CVA-22
Enterovirus C	CVA-24
Enterovirus C	EV-C95
Enterovirus C	EV-C96
Enterovirus C	EV-C99
Enterovirus C	EV-C102
Enterovirus C	EV-C104
Enterovirus C	EV-C105
Enterovirus C	EV-C109
Enterovirus C	EV-C113
Enterovirus C	EV-C116
Enterovirus C	EV-C117
Enterovirus C	EV-C118
Enterovirus D	EV-D68
Enterovirus D	EV-D68
Enterovirus D	EV-D70
Enterovirus D	EV-D94
Enterovirus D	EV-D111
Enterovirus D	EV-D120
Enterovirus E	EV-E1
Enterovirus E	EV-E2
Enterovirus E	EV-E3
Enterovirus E	EV-E4
Enterovirus E	EV-E5
Enterovirus F	EV-F1
Enterovirus F	EV-F2
Enterovirus F	EV-F3
Enterovirus F	EV-F4
Enterovirus F	EV-F5
Enterovirus F	EV-F6
Enterovirus F	EV-F7
Enterovirus G	EV-G1
Enterovirus G	EV-G2
Enterovirus G	EV-G3
Enterovirus G	EV-G4
Enterovirus G	EV-G5
Enterovirus G	EV-G6
Enterovirus G	EV-G7
Enterovirus G	EV-G8
Enterovirus G	EV-G9
Enterovirus G	EV-G10
Enterovirus G	EV-G11
Enterovirus G	EV-G12
Enterovirus G	EV-G13
Enterovirus G	EV-G14
Enterovirus G	EV-G15
Enterovirus G	EV-G16
Enterovirus G	EV-G17
Enterovirus G	EV-G18
Enterovirus G	EV-G19
Enterovirus G	EV-G20
Enterovirus H	EV-H
Enterovirus I	EV-I1
Enterovirus I	EV-I2
Enterovirus J	EV-J1
Enterovirus J	EV-J103
Enterovirus J	EV-J108
Enterovirus K	EV-K1
Enterovirus K	EV-K2
Enterovirus L	EV-L1
Rhinovirus A	RV-A1
Rhinovirus A	RV-A1B
Rhinovirus A	RV-A2
Rhinovirus A	RV-A7
Rhinovirus A	RV-A8
Rhinovirus A	RV-A9
Rhinovirus A	RV-A10
Rhinovirus A	RV-A11
Rhinovirus A	RV-A12
Rhinovirus A	RV-A13
Rhinovirus A	RV-A15
Rhinovirus A	RV-A16
Rhinovirus A	RV-A18
Rhinovirus A	RV-A19
Rhinovirus A	RV-A20
Rhinovirus A	RV-A21
Rhinovirus A	RV-A22
Rhinovirus A	RV-A23
Rhinovirus A	RV-A24
Rhinovirus A	RV-A25
Rhinovirus A	RV-A28
Rhinovirus A	RV-A29
Rhinovirus A	RV-A30
Rhinovirus A	RV-A31
Rhinovirus A	RV-A32
Rhinovirus A	RV-A33
Rhinovirus A	RV-A34
Rhinovirus A	RV-A36
Rhinovirus A	RV-A38
Rhinovirus A	RV-A39
Rhinovirus A	RV-A40
Rhinovirus A	RV-A41
Rhinovirus A	RV-A43
Rhinovirus A	RV-A45
Rhinovirus A	RV-A46
Rhinovirus A	RV-A47
Rhinovirus A	RV-A49
Rhinovirus A	RV-A50
Rhinovirus A	RV-A51
Rhinovirus A	RV-A53
Rhinovirus A	RV-A54
Rhinovirus A	RV-A55
Rhinovirus A	RV-A56
Rhinovirus A	RV-A57
Rhinovirus A	RV-A58
Rhinovirus A	RV-A59
Rhinovirus A	RV-A60
Rhinovirus A	RV-A61
Rhinovirus A	RV-A62
Rhinovirus A	RV-A63
Rhinovirus A	RV-A64
Rhinovirus A	RV-A65
Rhinovirus A	RV-A66
Rhinovirus A	RV-A67
Rhinovirus A	RV-A68
Rhinovirus A	RV-A71
Rhinovirus A	RV-A73
Rhinovirus A	RV-A74
Rhinovirus A	RV-A75
Rhinovirus A	RV-A76
Rhinovirus A	RV-A77
Rhinovirus A	RV-A78
Rhinovirus A	RV-A80
Rhinovirus A	RV-A81
Rhinovirus A	RV-A82
Rhinovirus A	RV-A85
Rhinovirus A	RV-A88
Rhinovirus A	RV-A89
Rhinovirus A	RV-A90
Rhinovirus A	RV-A94
Rhinovirus A	RV-A96
Rhinovirus A	RV-A100
Rhinovirus A	RV-A101
Rhinovirus A	RV-A102
Rhinovirus A	RV-A103
Rhinovirus A	RV-A104
Rhinovirus A	RV-A105
Rhinovirus A	RV-A106
Rhinovirus A	RV-A107
Rhinovirus A	RV-A108
Rhinovirus B	RV-B3
Rhinovirus B	RV-B4
Rhinovirus B	RV-B5
Rhinovirus B	RV-B6
Rhinovirus B	RV-B14
Rhinovirus B	RV-B17
Rhinovirus B	RV-B26
Rhinovirus B	RV-B27
Rhinovirus B	RV-B35
Rhinovirus B	RV-B37
Rhinovirus B	RV-B42
Rhinovirus B	RV-B48
Rhinovirus B	RV-B52
Rhinovirus B	RV-B69
Rhinovirus B	RV-B70
Rhinovirus B	RV-B72
Rhinovirus B	RV-B79
Rhinovirus B	RV-B83
Rhinovirus B	RV-B84
Rhinovirus B	RV-B86
Rhinovirus B	RV-B91
Rhinovirus B	RV-B92
Rhinovirus B	RV-B93
Rhinovirus B	RV-B97
Rhinovirus B	RV-B99
Rhinovirus B	RV-B100
Rhinovirus B	RV-B101
Rhinovirus B	RV-B102
Rhinovirus B	RV-B103
Rhinovirus B	RV-B104
Rhinovirus C	RV-C1
Rhinovirus C	RV-C2
Rhinovirus C	RV-C3
Rhinovirus C	RV-C4
Rhinovirus C	RV-C5
Rhinovirus C	RV-C6
Rhinovirus C	RV-C7
Rhinovirus C	RV-C8
Rhinovirus C	RV-C9
Rhinovirus C	RV-C10
Rhinovirus C	RV-C11
Rhinovirus C	RV-C12
Rhinovirus C	RV-C13
Rhinovirus C	RV-C14
Rhinovirus C	RV-C15
Rhinovirus C	RV-C16
Rhinovirus C	RV-C17
Rhinovirus C	RV-C18
Rhinovirus C	RV-C19
Rhinovirus C	RV-C20
Rhinovirus C	RV-C21
Rhinovirus C	RV-C22
Rhinovirus C	RV-C23
Rhinovirus C	RV-C24
Rhinovirus C	RV-C25
Rhinovirus C	RV-C26
Rhinovirus C	RV-C27
Rhinovirus C	RV-C28
Rhinovirus C	RV-C29
Rhinovirus C	RV-C30
Rhinovirus C	RV-C31
Rhinovirus C	RV-C32
Rhinovirus C	RV-C33
Rhinovirus C	RV-C34
Rhinovirus C	RV-C35
Rhinovirus C	RV-C36
Rhinovirus C	RV-C37
Rhinovirus C	RV-C38
Rhinovirus C	RV-C39
Rhinovirus C	RV-C40
Rhinovirus C	RV-C41
Rhinovirus C	RV-C42
Rhinovirus C	RV-C43
Rhinovirus C	RV-C44
Rhinovirus C	RV-C45
Rhinovirus C	RV-C46
Rhinovirus C	RV-C47
Rhinovirus C	RV-C48
Rhinovirus C	RV-C49
Rhinovirus C	RV-C50
Rhinovirus C	RV-C51
Rhinovirus C	RV-C54
Rhinovirus C	RV-C55
Rhinovirus C	RV-C56
Erbovirus A	ERBV-1
Erbovirus A	ERBV-2
Erbovirus A	ERBV-3
Gallivirus A	GV-A1
Gallivirus A	GV-A2
Harkavirus A	FaV
Hepatovirus A	HAV
Hepatovirus B	PhV
Hepatovirus C	HepV-C
Hepatovirus D	HepV-D1
Hepatovirus D	HepV-D2
Hepatovirus E	HepV-E
Hepatovirus F	HepV-F1
Hepatovirus F	HepV-F2
Hepatovirus G	HepV-G1
Hepatovirus G	HepV-G2
Hepatovirus H	HepV-H1
Hepatovirus H	HepV-H2
Hepatovirus H	HepV-H3
Hepatovirus I	HepV-I
Hunnivirus A	HuV-A1
Hunnivirus A	HuV-A2
Hunnivirus A	HuV-A4
Aichivirus A	AiV-A1
Aichivirus A	AiV-A2
Aichivirus A	AiV-A3
Aichivirus A	AiV-A4
Aichivirus A	AiV-A5
Aichivirus A	AiV-A6
Aichivirus A	AiV-A7
Aichivirus B	BKV
Aichivirus B	AiV-B2
Aichivirus B	AiV-B3
Aichivirus C	PKV
Aichivirus C	AiV-C2
Aichivirus D	KV-1
Aichivirus D	AiV-D2; KV-2
Aichivirus E	RaPV
Aichivirus F	BaPV-1
Aichivirus F	AiV-F2
Kunsagivirus A	KuV-A
Kunsagivirus B	BKuV
Kunsagivirus C	BakV
Limnipivirus A	BGPV
Limnipivirus B	CPV
Limnipivirus C	FHMPV
Livupivirus A	LivV-A1
Malagasivirus A	MalV-A1
Malagasivirus B	MalV-B1
Megrivirus A	MeV-A2
Megrivirus A	MeV-A3
Megrivirus A	
Megrivirus B	MeV-B1
Megrivirus B	MeV-B2
Megrivirus C	MeV-C1
Megrivirus C	MeV-C2
Megrivirus C	
Megrivirus D	MeV-D
Megrivirus E	MeV-E
Mischivirus A	MiV-A
Mischivirus B	MiV-B1
Mischivirus C	MiV-C1
Mischivirus D	MiV-D
Mosavirus A	MoV-A1
Mosavirus A	MoV-A2
Orivirus A	ChOV
Oscivirus A	OsV-A1
Oscivirus A	OsV-A2
Parechovirus A	HPeV-1
Parechovirus A	HPeV-2
Parechovirus A	HPeV-3
Parechovirus A	HPeV-4
Parechovirus A	HPeV-5
Parechovirus A	HPeV-6
Parechovirus A	HPeV-7
Parechovirus A	HPeV-8
Parechovirus A	HPeV-9
Parechovirus A	HPeV-10
Parechovirus A	HPeV-11
Parechovirus A	HPeV-12
Parechovirus A	HPeV-13
Parechovirus A	HPeV-14
Parechovirus A	HPeV-15
Parechovirus A	HPeV-16
Parechovirus A	HPeV-17
Parechovirus A	HPeV-18
Parechovirus B	LV-1
Parechovirus B	LV-2
Parechovirus B	LV-3
Parechovirus B	LV-4
Parechovirus B	LV-5
Parechovirus C	SEBV
Parechovirus D	FPeV
Pasivirus A	PaV-A1
Pasivirus A	PaV-A2
Pasivirus A	PaV-A3
Passerivirus A	PasV-A
Passerivirus B	PasV-B
Poecivirus A	PoeV-A
Potamipivirus A	EPV
Rabovirus A	RaBoV-A1
Rabovirus B	RaBoV-B1
Rabovirus C	RaBoV-C1
Rabovirus D	RaBoV-D1
Rafivirus A	RaV-A
Rafivirus B	RaV-B
Rosavirus A	RoV-A1
Rosavirus A	RoV-A2
Rosavirus B	RoV-B
Rosavirus C	RoV-C
Sakobuvirus A	SakV-A
Salivirus A	SaV-A1
Salivirus A	SaV-A2
Sapelovirus A	PSV
Sapelovirus B	SSV-1
Sapelovirus B	SSV-2
Sapelovirus B	SSV-3
Senecavirus A	SVV
Shanbavirus A	BShV
Sicinivirus A	SiV-A
Sicinivirus A	SiV-A1
Sicinivirus A	SiV-A2
Sicinivirus A	SiV-A3
Sicinivirus A	SiV-A4
Sicinivirus A	SiV-A5
Teschovirus A	TV-A
Teschovirus A	PTV-2
Teschovirus A	PTV-3
Teschovirus A	PTV-4
Teschovirus A	PTV-5
Teschovirus A	PTV-6
Teschovirus A	PTV-7
Teschovirus A	PTV-8
Teschovirus A	PTV-9
Teschovirus A	PTV-10
Teschovirus A	PTV-11
Teschovirus A	PTV-12
Teschovirus A	PTV-13
Torchivirus A	ToPV
Tottorivirus A	TotV-A1
Tremovirus A	AEV
Chironomus riparius virus 1	ChriV1
Hubei chipolycivirus	HplV82
Hubei hupolycivirus	HplV81
Formica exsecta virus 3	FexV3
Lasius neglectus virus 1	LneV1
Lasius neglectus virus 2	LneV2
Lasius niger virus 1	LniV1
Linepithema humile virus 2	LihuV2
Monomorium pharaonis virus 1	MophV1
Monomorium pharaonis virus 2	MophV2
Myrmica scabrinodis virus 1	MsaV1
Shuangao insect virus 8	ShiV8
Solenopsis invicta virus 2	SINV2
Solenopsis invicta virus 4	SINV4
Andean potato mottle virus	APMoV
Bean pod mottle virus	BPMV
Bean rugose mosaic virus	BRMV
Broad bean stain virus	BBSV
Broad bean true mosaic virus	BBTMV
Cowpea mosaic virus	CPMV
Cowpea severe mosaic virus	CPSMV
Glycine mosaic virus	GMV
Pea green mottle virus	PGMV
Pea mild mosaic virus	PMiMV
Quail pea mosaic virus	QPMV
Radish mosaic virus	RaMV
Red clover mottle virus	RCMV
Squash mosaic virus	SqMV
Ullucus virus C	UVC
Broad bean wilt virus 1	BBWV1
Broad bean wilt virus 2	BBWV2
Cucurbit mild mosaic virus	CuMMV
Gentian mosaic virus	GeMV
Grapevine fabavirus	GFabV
Lamium mild mosaic virus	LMMV
Prunus virus F	PrVF
Aeonium ringspot virus	AeRSV
Apricot latent ringspot virus	ALRSV
Arabis mosaic virus	ArMV
Arracacha virus A	AVA
Artichoke Aegean ringspot virus	AARSV
Artichoke Italian latent virus	AILV
Artichoke yellow ringspot virus	AYRSV
Beet ringspot virus	BRSV
Blackcurrant reversion virus	BRV
Blueberry latent spherical virus	BLSV
Blueberry leaf mottle virus	BLMoV
Cassava American latent virus	CsALV
Cassava green mottle virus	CsGMV
Cherry leaf roll virus	CLRV
Chicory yellow mottle virus	ChYMV
Cocoa necrosis virus	CoNV
Crimson clover latent virus	CCLV
Cycas necrotic stunt virus	CNSV
Grapevine Anatolian ringspot virus	GARSV
Grapevine Bulgarian latent virus	GBLV
Grapevine chrome mosaic virus	GCMV
Grapevine deformation virus	GDefV
Grapevine fanleaf virus	GFLV
Grapevine Tunisian ringspot virus	GTRSV
Hibiscus latent ringspot virus	HLRSV
Lucerne Australian latent virus	LALV
Melon mild mottle virus	MMMoV
Mulberry mosaic leaf roll associated virus	MMLRaV
Mulberry ringspot virus	MRSV
Myrobalan latent ringspot virus	MLRSV
Olive latent ringspot virus	OLRSV
Peach rosette mosaic virus	PRMV
Potato black ringspot virus	PBRSV
Potato virus B	PVB
Potato virus U	PVU
Raspberry ringspot virus	RpRSV
Soybean latent spherical virus	SLSV
Tobacco ringspot virus	TRSV
Tomato black ring virus	TBRV
Tomato ringspot virus	ToRSV
Apple latent spherical virus	ALSV
Arracacha virus B	AVB
Cherry rasp leaf virus	CRLV
Currant latent virus	CuLV
Stocky prune virus	StPV
Satsuma dwarf virus	SDV
Carrot necrotic dieback virus	CNDV
Dandelion yellow mosaic virus	DaYMV
Parsnip yellow fleck virus	PYFV
Carrot torradovirus 1	CaTV1
Lettuce necrotic leaf curl virus	LNLCV
Motherwort yellow mottle virus	MYMoV
Squash chlorotic leaf spot virus	SCLSV
Tomato marchitez virus	ToMarV
Tomato torrado virus	ToTV
Anthriscus yellows virus	AYV
Bellflower vein chlorosis virus	BVCV
Maize chlorotic dwarf virus	MCDV
Rice tungro spherical virus	RTSV
Black raspberry necrosis virus	BRNV
Chocolate lily virus A	CLVA
Dioscorea mosaic associated virus	DMaV
Strawberry latent ringspot virus	SLRSV
Strawberry mottle virus	SMoV
Alfalfa virus S	AVS
Arachis pintoi virus	ApV
Blackberry virus E	BVE
Garlic mite-borne filamentous virus	GarMbFV
Garlic virus A	GarVA
Garlic virus B	GarVB
Garlic virus C	GarVC
Garlic virus D	GarVD
Garlic virus E	GarVE
Garlic virus X	GarVX
Shallot virus X	ShVX
Vanilla latent virus	VLV
Botrytis virus X	BotVX
Lolium latent virus	LoLV
Citrus yellow vein clearing virus	CYVCV
Indian citrus ringspot virus	ICRSV
Donkey orchid symptomless virus	DOSV
Actinidia virus X	AVX
Allium virus X	AVX
Alstroemeria virus X	AlsVX
Alternanthera mosaic virus	AltMV
Asparagus virus 3	AV3
Bamboo mosaic virus	BaMV
Cactus virus X	CVX
Cassava common mosaic virus	CsCMV
Cassava virus X	CsVX
Clover yellow mosaic virus	ClYMV
Cymbidium mosaic virus	CymMV
Foxtail mosaic virus	FoMV
Hosta virus X	HVX
Hydrangea ringspot virus	HdRSV
Lagenaria mild mosaic virus	LMMV
Lettuce virus X	LeVX
Lily virus X	LVX
Malva mosaic virus	MalMV
Mint virus X	MVX
Narcissus mosaic virus	NMV
Nerine virus X	NVX
Opuntia virus X	OpVX
Papaya mosaic virus	PapMV
Pepino mosaic virus	PepMV
Phaius virus X	PhVX
Pitaya virus X	PiVX
Plantago asiatica mosaic virus	PlAMV
Plantain virus X	PlVX
Potato aucuba mosaic virus	PAMV
Potato virus X	PVX
Schlumbergera virus X	SchVX
Strawberry mild yellow edge virus	SMYEV
Tamus red mosaic virus	TRMV
Tulip virus X	TVX
Vanilla virus X	VaVX
White clover mosaic virus	WClMV
Yam virus X	YVX
Zygocactus virus X	ZyVX
Sclerotinia sclerotiorum debilitation-associated RNA virus	SsDRV
Aconitum latent virus	AcLV
American hop latent virus	AHLV
Atractylodes mottle virus	AtrMV
Blueberry scorch virus	BlScV
Butterbur mosaic virus	BuMV
Cactus virus 2	CV2
Caper latent virus	CapLV
Carnation latent virus	CLV
Chrysanthemum virus B	CVB
Cole latent virus	CoLV
Coleus vein necrosis virus	CVNV
Cowpea mild mottle virus	CPMMV
Cucumber vein-clearing virus	CvCV
Daphne virus S	DVS
Gaillardia latent virus	GLV
Garlic common latent virus	GarCLV
Helenium virus S	HVS
Helleborus mosaic virus	HMV
Helleborus net necrosis virus	HNNV
Hippeastrum latent virus	HLV
Hop latent virus	HpLV
Hop mosaic virus	HpMV
Hydrangea chlorotic mottle virus	HCMV
Kalanchoe latent virus	KLV
Ligustrum necrotic ringspot virus	LNRSV
Ligustrum virus A	LiVA
Lily symptomless virus	LSLV
Melon yellowing-associated virus	MYaV
Mirabilis jalapa mottle virus	MjMV
Narcissus common latent virus	NCLV
Nerine latent virus	NeLV
